Company,Job Title,location,period,location General,period_posted,PostedDay,value_is_NaN,PostedDate,period apply before
Marga Nusantara Jaya,SALES ADMINISTRATION OFFICER,Jakarta Timur, Apply before 30 May,Jakarta,Posted 6 months ago ,180,,2022-11-16,2023-05-30
PT Sinar Mas Digital Ventures,President Director,Surabaya, Apply before 9 Dec,Surabaya,Posted 3 months ago ,90,,2023-02-14,2023-12-09
Permata Bank,"Audit, Data Analytics",Tangerang, Apply before 29 Jun,Tangerang,Posted 3 months ago ,90,,2023-02-14,2023-06-29
Moneta Pay,Account Manager (Mandarin Speaker),Jakarta Barat, Apply before 9 Oct,Jakarta,Posted 5 months ago ,150,,2022-12-16,2023-05-19
PT IONPay Networks (NICEPAY),Merchant Acquisition Officer,Jakarta Selatan, Apply before 7 Jul,Jakarta,Posted 6 days ago ,6,,2023-05-09,2023-10-09
PT Adi Data Informatika,Quality Assurance Tester,Jakarta Barat, Apply before 30 Jul,Jakarta,Posted 4 months ago ,120,,2023-01-15,2023-07-07
Kompas Gramedia,Back End Developer - Digital IT,Jakarta Pusat, Apply before 30 Aug,Jakarta,Posted 2 months ago ,60,,2023-03-16,2023-07-30
PT Adi Data Informatika,IT Developer,Jakarta Barat, Apply before 12 Dec,Jakarta,Posted 4 months ago ,120,,2023-01-15,2023-08-30
Investree,Business Development Manager,Jakarta Pusat, Apply before 29 Jun,Jakarta,Posted 12 days ago ,12,,2023-05-03,2023-06-10
PT Andalan Nusantara Teknologi,Senior IT Engineers (GOV/DEV/INF) / Professional Trainers,Jakarta Pusat, Apply before 14 Jun,Jakarta,Posted 13 days ago ,13,,2023-05-02,2023-05-30
Kompas Gramedia,News Video Editor - KOMPAS.com (Solo),Surakarta, Apply before 30 Jul,Surakarta,Posted 11 days ago ,11,,2023-05-04,2023-12-12
PT Adi Data Informatika,IT Developer,Jakarta Barat, Apply before 12 Dec,Jakarta,Posted 4 months ago ,120,,2023-01-15,2023-05-30
Investree,Business Development Manager,Jakarta Pusat, Apply before 29 Jun,Jakarta,Posted 12 days ago ,12,,2023-05-03,2023-06-29
PT Andalan Nusantara Teknologi,Senior IT Engineers (GOV/DEV/INF) / Professional Trainers,Jakarta Pusat, Apply before 14 Jun,Jakarta,Posted 13 days ago ,13,,2023-05-02,2023-06-14
IDN Media,Account Manager (Production House),Jakarta Pusat, Apply before 29 May,Jakarta,Posted 2 months ago ,60,,2023-03-16,2023-07-30
GITS Indonesia,HR Compensation & Benefits,Bandung, Apply before 20 Sep,Bandung,Posted 7 days ago ,7,,2023-05-08,2023-05-30
PT Bumi Amartha Teknologi Mandiri,Technical Writer,Jakarta Selatan, Apply before 9 Jul,Jakarta,Posted 4 days ago ,4,,2023-05-11,2023-12-12
Compas.co.id,Account Executive,Jakarta Pusat, Apply before 29 Jul,Jakarta,Posted 13 days ago ,13,,2023-05-02,2023-05-30
Pajak.io,Growth Marketing,Jakarta Pusat, Apply before 10 Jul,Jakarta,Posted 3 days ago ,3,,2023-05-12,2023-06-29
paper.id,Product Manager (Jakarta and Malang),Jakarta Utara, Apply before 26 Oct,Jakarta,Posted 20 days ago ,20,,2023-04-25,2023-12-07
PT Midas Daya Teknologi,Senior Business Analyst,Jakarta Pusat, Apply before 27 May,Jakarta,Posted 2 months ago ,60,,2023-03-16,2023-06-14
PT Bumi Amartha Teknologi Mandiri,System Analyst,Jakarta Selatan, Apply before 28 Jun,Jakarta,Posted 2 months ago ,60,,2023-03-16,2023-05-29
Compas.co.id,Data and Product Quality Assurance,Jakarta Pusat, Apply before 25 Jun,Jakarta,Posted 18 days ago ,18,,2023-04-27,2023-09-20
Kompas Gramedia,System Engineer (Information Security Engineer) - Corp. IT & IS,Jakarta Barat, Apply before 30 Jul,Jakarta,Posted 4 days ago ,4,,2023-05-11,2023-07-09
PT BFI Finance Indonesia Tbk,Database Analytic & Utilization,Tangerang, Apply before 26 Jun,Tangerang,Posted 17 days ago ,17,,2023-04-28,2023-08-09
Investree,Back-end Engineer,Jakarta Selatan, Apply before 17 Mar,Jakarta,Posted 2 months ago ,60,,2023-03-16,2023-07-29
Accenture,SAP MM Consultant,Jakarta Pusat, Apply before 31 Jul,Jakarta,Posted 5 months ago ,150,,2022-12-16,2023-06-01
