Company,Job Title,location,period,period_posted,PostedDay,value_is_NaN,PostedDate
PGI Data,.Net Developer,Jakarta, Apply before 19 May,Posted 4 days ago ,4,,2023-05-08
PT Adicipta Inovasi Teknologi,Data Analytics Manager,West Jakarta, Apply before 30 May,Posted 9 days ago ,9,,2023-05-03
Mobius Digital,DevOps and Data Engineer,South Tangerang, Apply before 25 Aug,Posted 7 days ago ,7,,2023-05-05
PT BFI Finance Indonesia Tbk,Data Analytic Specialist ETL,Tangerang, Apply before 4 Jun,Posted 4 days ago ,4,,2023-05-08
Astra Financial,Data Quality Analyst,Central Jakarta, Apply before 1 Jul,Posted 10 days ago ,10,,2023-05-02
MileApp,Data Scientist,West Jakarta, Apply before 30 Jul,Posted 2 days ago ,2,,2023-05-10
PGI Data,Odoo Developer,Jakarta, Apply before 29 Jun,Posted 8 days ago ,8,,2023-05-04
Kalibrr,Data Scientist,South Jakarta, Apply before 9 May,Posted 2 days ago ,2,,2023-05-10
Magna Solusi Indonesia,Business Intelligence Developer,South Jakarta, Apply before 1 Jul,Posted 7 days ago ,7,,2023-05-05
PT Global Urban Esensial,Illustrator,South Tangerang, Apply before 29 Jun,Posted 2 days ago ,2,,2023-05-10
Astra Credit Companies (ACC),Auditor,South Jakarta, Apply before 30 Jul,Posted 12 hours ago ,12,,2023-04-30
PhinCon,iOS Developer,South Jakarta, Apply before 9 Jun,Posted 2 days ago ,2,,2023-05-10
Perqara,iOS Developer,South Jakarta, Apply before 29 Jul,Posted 9 days ago ,9,,2023-05-03
paper.id,Senior Data Analyst,North Jakarta, Apply before 30 May,Posted 2 months ago ,60,,2023-03-13
PT Mobilitas Digital Indonesia,B2B Commercial Sales Account,East Jakarta, Apply before 4 Jun,Posted 7 days ago ,7,,2023-05-05
Kalibrr,Data Scientist,South Jakarta, Apply before 9 May,Posted 2 days ago ,2,,2023-05-10
PGI Data,System Administrator,Jakarta, Apply before 9 Jul,Posted 17 hours ago ,17,,2023-04-25
Astra Credit Companies (ACC),Credit Analyst (Retail Underwriter Officer),Yogyakarta, Apply before 30 Dec,Posted 2 months ago ,60,,2023-03-13
VLink Inc,Data Engineer,South Jakarta, Apply before 25 Apr,Posted 16 days ago ,16,,2023-04-26
MileApp,Account Executive,West Jakarta, Apply before 20 May,Posted 2 months ago ,60,,2023-03-13
Schoters,Data Analyst,South Jakarta, Apply before 3 Jul,Posted 3 days ago ,3,,2023-05-09
Schoters,Data Analyst,South Jakarta, Apply before 3 Jul,Posted 3 days ago ,3,,2023-05-09
Algoritma,Education Consultant Intern,South Jakarta, Apply before 29 Jun,Posted 4 days ago ,4,,2023-05-08
OGYA,Oracle DBA,Jakarta, Apply before 30 Jul,Posted 10 days ago ,10,,2023-05-02
Gear Inc,Senior Accountant,Surabaya, Apply before 23 May,Posted 16 days ago ,16,,2023-04-26
KST,Software Quality Assurance (QA),South Jakarta, Apply before 11 Nov,Posted 4 days ago ,4,,2023-05-08
Astra Credit Companies (ACC),Credit Analyst (Retail Underwriter Officer),Yogyakarta, Apply before 30 Dec,Posted 2 months ago ,60,,2023-03-13
Mitra Solusi Infokom,Presales SSA,West Jakarta, Apply before 29 May,Posted 2 days ago ,2,,2023-05-10
VLink Inc,Data Engineer,South Jakarta, Apply before 25 Apr,Posted 16 days ago ,16,,2023-04-26
MileApp,Account Executive,West Jakarta, Apply before 20 May,Posted 2 months ago ,60,,2023-03-13
PT Bank Central Asia Tbk,Database Engineer,Central Jakarta, Apply before 8 Dec,Posted 23 days ago ,23,,2023-04-19
PT Bumi Amartha Teknologi Mandiri,Technical Writer,South Jakarta, Apply before 9 Jul,Posted 11 hours ago ,11,,2023-05-01
Nomura Research Institute Indonesia,Data Engineer,Central Jakarta, Apply before 14 Jan,Posted 4 months ago ,120,,2023-01-12
PT BFI Finance Indonesia Tbk,Centro Data Video Editing Staff,Tangerang, Apply before 15 Jun,Posted 25 days ago ,25,,2023-04-17
PT Bank Central Asia Tbk,Database Engineer,Central Jakarta, Apply before 8 Dec,Posted 23 days ago ,23,,2023-04-19
